,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
279,Buchanan,73,LR,1600903523,89,5.88,-10.05,77.04,7.96
280,Yangi Marg`ilon,0,UZ,1600903525,62,40.43,71.72,55.4,6.93
281,Taloqan,0,AF,1600903526,60,36.74,69.53,48.25,1.77
282,Bac Lieu,71,VN,1600903523,83,9.29,105.72,79.03,4.52
283,Aykhal,20,RU,1600903530,64,66.0,111.5,39.2,6.71
284,Salinópolis,34,BR,1600903531,79,-0.61,-47.36,79.83,13.89
285,Naze,75,JP,1600903532,100,28.37,129.48,78.8,9.17
286,Wanning,100,CN,1600903534,85,18.8,110.4,79.3,2.44
287,Manggar,92,ID,1600903535,82,-2.88,108.27,80.69,6.96
288,Östersund,100,SE,1600903538,87,63.18,14.64,42.8,3.36
289,Arona,100,ES,1600903371,69,28.1,-16.68,75.2,1.12
290,Vila Franca do Campo,40,PT,1600903540,68,37.72,-25.43,64.4,26.4
291,Karratha,65,AU,1600903542,25,-20.74,116.85,75.18,8.68
292,Haines Junction,100,CA,1600903543,57,60.75,-137.51,51.03,2.26
293,Husavik,90,IS,1600903544,93,66.04,-17.34,33.8,9.71
294,Ostrovnoy,78,RU,1600903546,75,68.05,39.51,43.83,18.19
295,Nishihara,40,JP,1600903547,100,26.18,127.76,82.4,4.7
296,Salta,48,AR,1600903549,28,-24.79,-65.41,71.6,3.36
297,Sinnamary,100,GF,1600903550,82,5.38,-52.95,80.19,12.3
298,Sachīn,100,IN,1600903551,85,21.08,72.88,80.85,10.74
299,Cotonou,40,BJ,1600903553,83,6.37,2.42,80.6,11.41
300,Mana,98,GF,1600903555,80,5.66,-53.78,80.22,13.71
301,Mossamedes,74,AO,1600903556,86,-15.2,12.15,64.0,3.67
302,Beaverlodge,40,CA,1600903558,52,55.22,-119.44,64.4,6.93
303,Ubari,0,LY,1600903559,26,26.59,12.78,74.07,3.11
304,Kūhdasht,0,IR,1600903561,31,33.53,47.61,62.13,3.27
305,Vao,0,NC,1600903562,73,-22.67,167.48,70.81,10.54
306,Meulaboh,100,ID,1600903565,87,4.14,96.13,76.44,7.83
307,Xinzhi,0,CN,1600903566,60,36.5,111.7,62.65,1.45
308,Tirumullaivāsal,100,IN,1600903568,77,11.23,79.83,80.67,8.5
